Medication Type,Medication,Brand Name,Formulation,Initial Dose Range,Usual Titration,Usual  Dose,Max Titration,Usual Max Dose,Max Dose,Taper,CYP (Metabolized/Inducer/Inhibitor) with weaker effects in parens,Study Dosage,Study 2,Study 3,Notes,Notes 2,Trials/Adverse SE/CI,Refs
Stimulant,Dextroamphetamine,Dexedrine,"Tab: 5 mg, 10 mg",2.5(p) - 5mg(a),,,2.5mg - 5mg q biweekly,,40mg,None,,,,,C,,,U
Stimulant,Dextroamphetamine,Dexedrine Spansules,"Capsule: 5 mg, 10 mg, 15 mg",5mg [c] - 5mg BID [a],5mg q week to month [ca],,40mg,,,None,,,,,,doesn't release reliably,,UF
Stimulant,D/L amphetamine XR,Adderall XR,"Capsule: 5 MG, 10 MG, 15 MG, 20 MG, 25 MG, 30 MG (sprinkable)",5-10mg [aA],5-10mg q 2 weeks to month,10-50mg,5-10mg q week,,50mg,None,,22.4(6.9)[a;G83],,,Sprinkable,,,U
Stimulant,Lisdexamphetamine ,Vyvanse,"Chewable Tab/Capsule: 10 MG, 20 MG, 30 MG, 40 MG, 50 MG, 60 MG, 70 MG (sprinkable)",10mg [c] - 30mg [aA] ,10-20mg q 2 wks,30-70mg,10-20mg q week,,70mg - 80mg,None,,,,,Sprinkable,,,U
Stimulant,Dexmethylphenidate IR,Focalin IR,"Oral Tablet: 2.5 MG, 5 MG, 10 MG",2.5mg - 5mg,,,2.5-5mg q week,,20mg,None,,18.14mg,,,,,,U
Stimulant,Dexmethylphenidate XR,Focalin XR,"Oral Capsule, Extended Release: 5 MG, 10 MG, 15 MG, 20 MG, 25 MG, 30 MG, 35 MG, 40 MG (sprinkable)",5mg,5-10mg q 2-4 wks,30mg,5mg-10mg q week,,40mg - 50mg,None,,,,,Sprinkable,,,U
Stimulant,D/L amphetamine IR,Adderall IR,"Tablet: 5 MG, 7.5 MG, 10 MG, 12.5 MG, 15 MG, 20 MG, 30 MG (sprinkable)",5mg - 10mg [A],,,2.5mg q week,,40mg /day,None,,12.5 (c;G84),,,Sprinkable,,,U
Stimulant,Methylphenidate IR,Concerta,"Tablets : 5, 10, 20 ;; Chewable: 2.5, 5, 10 ;; Liquid: 5mg, 10mg",2.5 -10mg,5mg q week to month,,5-10mg q week,,60mg TID (<50kg),None,,32.14 mg (GF),100mg (>50kg),,C,,,U
Stimulant,Methylphenidate ER,Concerta ER,"Concerta capsules: 18 mg, 27 mg, 36 mg, 54 mg",18mg,18 q 2-4 wks,,18mg q week,,"54mg (<50kg), 90mg",None,,44mg[c],108mg (>50kg),,Not breakable,,72mg (c); 108mg (a),U
Stimulant,Methylphenidate derivative,Metadate CD,"Cap: 10 mg, 20 mg, 30 mg, 40 mg, 50 mg, 60 mg (sprinkable)",10mg - 20mg qd,10-20 q2-4 wks,,10-20mg q week,,60mg [c] - 100mg [a],None,,60mg,100mg (>50kg),,Sprinkable,,Dec Abs w/ food.,U
Stimulant,Methylphenidate derivative,Metadate ER,"Cap: 10 mg, 20 mg, 30 mg, 40 mg, 60 mg",10mg qd,,,10mg q week,,60mg [c] - 100mg [a],None,,,"not used, shorter than the CD",,,,,U
Stimulant,Methylphenidate derivative,Quillavant XR,"Solution: 25 mg/5 mL (60 mL [DSC], 120 mL [DSC], 150 mL [DSC], 180 mL [DSC]) ",20mg qd,10-20 q2-4 wks,,10-20mg q week,,,None,,,,,,,,U
Stimulant,Methylphenidate derivative,Ritalin LA,"Capsule: 10 mg, 20 mg, 30 mg, 40 mg, 60 mg [DSC]",10mg qd,10-20 q2-4 wks,,10-20mg q week,,60mg [c] - 100mg [a],None,,,,,,,,U
Stimulant,Methylphenidate,Daytrana Patch,"Patch: 10, 15, 20, 30 mg",10mg,Next size q 2-4 wks,,Next size q week,,30mg ,None,,,,,,,"Hip. Place 2 hrs before, Remove 3 prior to sleep. Big patches. ",U
,,,,,,,,,,,,,,,,,,
Antipsychotic,Lurasidone,Latuda,"--Oral Tablet: 20 MG, 40 MG, 60 MG, 80 MG, 120 MG",20mg[ca] – 40mg [A],20mg q month [a]; 20mg q week [A],80mg [a],see usual,120mg [aA],80 [ca] - 120mg [aA],25% ID q wk - 2 wks; max 50% ID q 3 days,,34mg,,,Give w/ food (350cal) ,,,UE
Antipsychotic,Aripiprazole,Abilify,"Tablet: 2 MG, 5 MG, 10 MG, 15 MG, 20 MG, 30 MG; Disintegrating/Liquid also available",2.5[c; TRD] - 10mg[a; TRD]- 15mg[A],"2.5mg q month [ca; OCD, TRD] OR 1 wk of 2.5 then 5mg, then 7.5mg, then 10mg q month [caA; BP]",10-30mg [aA],2mg for 1st 2d then 5mg q 2d [ca],5 [ca; OAUG] -10mg [aA-DAUG/OAUG] -30mg [BP],30mg,25% ID q wk - 2 wks; max 50% ID q 3 days,"3A4, 2D6/-/-",30mg,,,,,,REP
Antipsychotic,Ziprasidone,Geodon,"--Capsule: 20 MG, 40 MG, 60 MG, 80 MG",20mg qhs [a]; 40mg BID [A],"20mg after 1 week, then 20mg q month (and then repeat for each titration) [a] - 20mg q week [A]",,20mg q 2d [a],80mg BID,40-80mg BID,25% ID q wk - 2 wks; max 50% ID q 3 days,3A4/-/-,35/60 mg BID,,,Give w/ food (500cal) ,,,SE
Antipsychotic,Quetiapine IR,Seroquel,"--Oral Tablet: 25 MG, 50 MG, 100 MG, 200 MG, 300 MG, 400 MG",50mg [a] – 50mg BID [A] ,"25mg q month [TRD]; 50mg for 3 days then 100mg q 3d up to 300mg [BPD, a]; 50MG (Day 1) to 100MG (Day 2) to 200MG (Day 3 ) to 300MG (Day 4) then 100mg q week (at Day 11) [BPM, A]",100mg - 300mg ,50 mg q1-2 days BID [aA/IP/BPM],"300mg [TRD,a] - 600mg [BPM, A]",800mg,25% ID q wk - 2 wks; max 50% ID q 3 days,3A4/-/-,300mg [A],,,Max 300mg for BPD,No difference b/t IR/XR except at doses >300mg may have drowsiness with IR,,SE
Antipsychotic,Quetiapine XR,Seroquel XR,"--Oral Tablet, Extended Release: 50 MG, 150 MG, 200 MG, 300 MG, 400 MG",50mg,"At 300mg IR; transition q week to XR 50mg/300mg -> 50mg/350mg ->100mg/400mg, then increase 100mg qweek [BPM]",800mg,"100mg on day 2 and 100mg qd afterwards [IP, BPM]",,800mg,25% ID q wk - 2 wks; max 50% ID q 3 days,3A4/-/-,,,,"only use at higher doses for BPM, 300mg (take at 6-7pm , sedating after 4 hrs). Not much clinical difference between IR and XR at lower doses, IR preferred.",No difference b/t IR/XR except at doses >300mg may have drowsiness with IR,,E
